PrDM	T090C	T190C	C0S/m	C1S/m	Par	OxMm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
81.836	-1.691	-1.6908	2.6928	2.692551	2.83E+00	283.583	34.0144	-0.000252	0.0002	96.3297	-68.25802	-75.15876	0.0422	0	0.0002	34.0185	34.0148	-0.0037	-0.000249	81	34.0185	34.0148	27.3801	27.3801	0.0002	-0.000249	-0.0037	0.00E+00
82.847	-1.6955	-1.6948	2.69268	2.69252	2.73E+00	282.871	34.0181	-0.000161	0.0007	96.289	-68.25802	-75.15876	0.0473	0	0.0007	34.0213	34.0183	-0.003	-0.000159	82	34.0213	34.0183	27.3824	27.3824	0.0007	-0.000159	-0.003	0.00E+00
83.857	-1.7054	-1.7049	2.692177	2.692001	2.63E+00	282.576	34.0221	-0.000175	0.0005	96.2851	-68.25802	-75.15876	0.0757	0	0.0005	34.0249	34.0219	-0.003	-0.000175	83	34.0249	34.0219	27.3857	27.3857	0.0005	-0.000175	-0.003	0.00E+00
84.868	-1.7083	-1.7077	2.69206	2.691896	2.52E+00	282.715	34.0233	-0.000164	0.0006	96.2804	-68.25802	-75.15876	0.049	0	0.0006	34.026	34.023	-0.003	-0.000164	84	34.026	34.023	27.3866	27.3866	0.0006	-0.000164	-0.003	0.00E+00
85.878	-1.7056	-1.7063	2.692247	2.692027	2.42E+00	282.274	34.0228	-0.000217	-0.0007	96.3727	-68.25802	-75.15876	0.0157	0	-0.0007	34.0249	34.0227	-0.0022	-0.00022	85	34.0249	34.0227	27.3857	27.3857	-0.0007	-0.00022	-0.0022	0.00E+00
86.889	-1.711	-1.7118	2.692086	2.691846	2.33E+00	282.021	34.0261	-0.000238	-0.0008	96.373	-68.25802	-75.15876	0.0149	0	-0.0008	34.0282	34.0259	-0.0024	-0.000239	86	34.0282	34.0259	27.3886	27.3886	-0.0008	-0.000239	-0.0024	0.00E+00
87.899	-1.7138	-1.7132	2.691998	2.691829	2.24E+00	281.733	34.0267	-0.000171	0.0006	96.4078	-68.25802	-75.15876	0.0138	0	0.0006	34.0296	34.0265	-0.0031	-0.000169	87	34.0296	34.0265	27.3897	27.3897	0.0006	-0.000169	-0.0031	0.00E+00
88.91	-1.7127	-1.7122	2.692504	2.692312	2.16E+00	281.548	34.0317	-0.000193	0.0004	96.4413	-68.25802	-75.15876	0.0153	0	0.0004	34.0347	34.0315	-0.0032	-0.000192	88	34.0347	34.0315	27.3938	27.3938	0.0004	-0.000192	-0.0032	0.00E+00
89.92	-1.7116	-1.7112	2.692804	2.692625	2.08E+00	281.623	34.0341	-0.00018	0.0005	96.432	-68.25802	-75.15876	-0.0048	0	0.0005	34.037	34.034	-0.003	-0.000179	89	34.037	34.034	27.3957	27.3957	0.0005	-0.000179	-0.003	0.00E+00
90.931	-1.7114	-1.7111	2.692767	2.692618	2.01E+00	281.275	34.0333	-0.000149	0.0003	96.4372	-68.25802	-75.15876	-0.0172	0	0.0003	34.0356	34.0332	-0.0024	-0.000149	90	34.0356	34.0332	27.3946	27.3946	0.0003	-0.000149	-0.0024	0.00E+00
