"","x"
"808","Acutus_14873.71908"
"809","Acutus_13673.1"
"810","Acutus_14873.52549"
"811","Acutus_14873.44664"
"812","Acutus_14873.40711"
"813","Acutus_14873.65206"
"814","Acutus_14873.11094"
"815","Acutus_14873.8948"
"816","Acutus_14341.2"
"817","Acutus_14873.23981"
"818","Acutus_14873.61779"
"819","Acutus_14873.13761"
"820","Acutus_22212.0"
"821","Acutus_14873.31346"
"822","Acutus_14873.14621"
"823","Acutus_14873.20348"
"824","Acutus_14873.23218"
"825","Acutus_14873.27469"
"826","Acutus_15603.0"
"827","Acutus_17578.0"
"828","Acutus_14873.4382"
"829","Acutus_22686.3"
"830","Acutus_17848.0"
"831","Acutus_11586.0"
"832","Acutus_14873.32334"
"833","Acutus_14873.71809"
"834","Acutus_8111.0"
"835","Acutus_14873.775"
"836","Acutus_14873.24571"
"837","Acutus_14873.12296"
"838","Acutus_11882.2"
"839","Acutus_14873.19321"
"840","Acutus_14873.16752"
"841","Acutus_14873.19537"
"842","Acutus_14873.41864"
"843","Acutus_14873.15453"
"844","Acutus_14873.25425"
"845","Acutus_14873.8132"
"846","Acutus_14873.49651"
"847","Acutus_14873.25570"
"848","Acutus_14873.197"
"849","Acutus_14873.21364"
"850","Acutus_20858.0"
"851","Acutus_14873.21198"
"852","Acutus_14873.5905"
"853","Acutus_5944.0"
"854","Acutus_14873.14377"
"855","Acutus_14873.43128"
"856","Acutus_14873.73686"
"857","Acutus_14873.23597"
"858","Acutus_14873.31190"
"859","Acutus_14873.40104"
"860","Acutus_6830.3"
"861","Acutus_14873.53082"
"862","Acutus_14873.27346"
"863","Acutus_14873.34513"
"864","Acutus_14873.28048"
"865","Acutus_14873.21115"
"866","Acutus_14873.66996"
"867","Acutus_2876.0"
"868","Acutus_14873.2439"
"869","Acutus_14873.7317"
"870","Acutus_14873.54200"
"871","Acutus_17943.0"
"872","Acutus_7832.3"
"873","Acutus_14873.22615"
"874","Acutus_14873.43404"
"875","Acutus_14873.11877"
"876","Acutus_14873.20026"
"877","Acutus_14873.74058"
"878","Acutus_14873.51577"
"879","Acutus_14873.2163"
"880","Acutus_5557.0"
"881","Acutus_14873.12208"
"882","Acutus_14873.53962"
"883","Acutus_14873.34538"
"884","Acutus_14873.45685"
"885","Acutus_14873.47706"
"886","Acutus_22100.0"
"887","Acutus_13480.1"
"888","Acutus_14873.8212"
"889","Acutus_14873.69152"
"890","Acutus_14873.21351"
"891","Acutus_14873.8356"
"892","Acutus_14873.11054"
"893","Acutus_14873.67203"
"894","Acutus_14873.5600"
"895","Acutus_14873.14882"
"896","Acutus_14873.26353"
"897","Acutus_14873.15319"
"898","Acutus_14873.14757"
"899","Acutus_14873.32390"
"900","Acutus_22681.0"
"901","Acutus_14873.33157"
"902","Acutus_14873.25661"
"903","Acutus_11164.0"
"904","Acutus_14873.51935"
"905","Acutus_14873.15444"
"906","Acutus_14873.4553"
"907","Acutus_14873.5532"
"908","Acutus_14873.30500"
"909","Acutus_23810.0"
"910","Acutus_16149.5"
"911","Acutus_14873.33248"
"912","Acutus_14873.8944"
"913","Acutus_14873.38403"
"914","Acutus_14873.51857"
"915","Acutus_14873.13106"
"916","Acutus_14873.39439"
"917","Acutus_14873.61679"
"918","Acutus_19212.0"
"919","Acutus_14873.15030"
"920","Acutus_15511.0"
"921","Acutus_17043.2"
"922","Acutus_811.0"
"923","Acutus_1560.0"
"924","Acutus_14873.36510"
"925","Acutus_14873.25106"
"926","Acutus_23701.0"
"927","Acutus_14873.40611"
"928","Acutus_7832.4"
"929","Acutus_14873.59189"
"930","Acutus_14873.46237"
"931","Acutus_14873.41146"
"932","Acutus_14873.896"
"933","Acutus_14187.0"
"934","Acutus_14873.42878"
"935","Acutus_13305.0"
"936","Acutus_14873.16491"
"937","Acutus_14873.30467"
"938","Acutus_14873.7878"
"939","Acutus_14873.42479"
"940","Acutus_14873.38552"
"941","Acutus_13481.0"
"942","Acutus_14873.15027"
"943","Acutus_14873.19980"
"944","Acutus_14873.26533"
"945","Acutus_14873.21503"
